epoch,time,LOSS_train,RMSE_train,R2_train,LOSS_dev,RMSE_dev,R2_dev,Lr
1, 262.4085163999989, 10807986552146.398, 28182.225, -0.0003942923087707495, 529984278767.2357, 17651.41, -0.015234456447451361, [0.0001]
2, 519.5429395000101, 10591507983376.58, 27898.559, 0.019643105365588887, 537615806137.05383, 17778.04, -0.029853360916057392, [0.0001]
3, 776.2797001999861, 10267170857387.41, 27468.078, 0.04966396152209229, 527449316725.5701, 17609.145, -0.010378499556670473, [0.0001]
4, 1033.098407499987, 9707629693825.766, 26709.111, 0.10145545697206604, 516958455616.0327, 17433.14, 0.009717726129459425, [0.0001]
5, 1289.6009450000129, 8655019822693.3955, 25219.525, 0.19888571394250498, 487840910930.1881, 16935.068, 0.06549510639624356, [0.0001]
6, 1546.0142425000085, 6617606462048.76, 22052.27, 0.3874700249266616, 522114332297.5947, 17519.86, -0.00015883789332926668, [0.0001]
7, 1802.5741672999866, 5889230925893.576, 20803.295, 0.4548889401437851, 511813177231.179, 17346.168, 0.019573988123621766, [0.0001]
8, 2059.218810099992, 6641871266010.135, 22092.662, 0.3852240588283661, 531565107505.57214, 17677.713, -0.018262681753746346, [0.0001]
9, 2316.62437949999, 5049489078254.548, 19263.117, 0.5326159938681515, 539530231640.7557, 17809.664, -0.03352062202836881, [0.0001]
10, 2573.1689677000104, 4511501410790.589, 18208.049, 0.5824124836460343, 526087240882.6901, 17586.393, -0.007769315882009575, [0.0001]
11, 2829.380249699985, 4839778944570.545, 18858.867, 0.55202690077154, 535801649692.07776, 17748.016, -0.026378174564095636, [0.0001]
12, 3085.437529499992, 4441170508529.508, 18065.566, 0.5889223578816697, 558347100240.3182, 18117.572, -0.06956609380944823, [0.0001]
13, 3341.5321781999955, 5247443287049.459, 19637.072, 0.5142932230484932, 532776528106.9581, 17697.844, -0.02058327122224557, [0.0001]
14, 3597.6888899999904, 3827099221471.025, 16770.18, 0.6457611971677913, 547517735331.3083, 17941.012, -0.04882143243450532, [0.0001]
15, 3853.927298099996, 4175391885207.423, 17516.668, 0.6135230007957098, 569623519104.0256, 18299.61, -0.09116712884844747, [0.0001]
16, 4110.09045019999, 4295248379791.843, 17766.299, 0.6024290053970407, 525479975685.2891, 17576.238, -0.006606042597683048, [0.0001]
17, 4366.187251700001, 3892951785337.267, 16913.846, 0.6396658408580991, 551281190050.8406, 18002.568, -0.056030681953068706, [0.0001]
18, 4622.238413599989, 3277088603225.9106, 15518.399, 0.696670539120327, 523092231932.23694, 17536.26, -0.002032096108356418, [0.0001]
19, 4878.393127499992, 3346246217688.2007, 15681.291, 0.6902692651694424, 537039880933.041, 17768.516, -0.028750122320357008, [0.0001]
20, 5134.454523499997, 3294167520739.97, 15558.785, 0.6950897033635981, 526669461566.41833, 17596.12, -0.008884614057932838, [0.0001]
21, 5390.813757600001, 2856976220285.76, 14489.593, 0.7355564155963762, 1291400499793.7544, 27553.598, -1.4737984445759214, [0.0001]
22, 5647.37925920001, 2729652370462.489, 14163.041, 0.74734159427174, 519665430124.88586, 17478.725, 0.004532263269117043, [0.0001]
23, 5903.254834799998, 2710258886620.878, 14112.64, 0.7491366677990361, 567618056810.2198, 18267.367, -0.08732547824984183, [0.0001]
24, 6159.688172399998, 2439512436096.104, 13389.192, 0.7741971360426845, 522177560892.6063, 17520.922, -0.00027995818096870906, [0.0001]
25, 6415.7854301999905, 2236951743315.485, 12821.273, 0.792946285856706, 677197876780.359, 19952.883, -0.2972358726180746, [0.0001]
26, 6671.544128300011, 2411773221816.05, 13312.851, 0.7767646958286821, 507191738516.89966, 17267.678, 0.028426786233049395, [0.0001]
27, 6927.274755599996, 2356739834642.3154, 13160.085, 0.7818586220793668, 657075626064.5786, 19654.207, -0.25868981929843105, [0.0001]
28, 7182.96382959999, 1903188599155.6045, 11826.16, 0.8238396205809232, 519932139577.1675, 17483.209, 0.004021356367413298, [0.0001]
29, 7438.749553800008, 2235074393564.0728, 12815.892, 0.7931200547466501, 505969023538.92584, 17246.852, 0.03076901113628805, [0.0001]
30, 7694.647281099984, 1977559211206.971, 12055.011, 0.8169558281693823, 537290942955.9608, 17772.668, -0.02923105510758317, [0.0001]
31, 7950.47539919999, 1748260634435.5417, 11334.593, 0.8381798541551575, 544526432306.0902, 17891.938, -0.04309131170726266, [0.0001]
32, 8206.126492399984, 1738691624012.4717, 11303.531, 0.8390655680079733, 535492949001.3429, 17742.904, -0.025786829517612242, [0.0001]
33, 8462.003675099986, 1889463263860.657, 11783.439, 0.8251100465777393, 506515140294.5168, 17256.156, 0.02972287341158253, [0.0001]
34, 8717.850968299987, 1734606202023.4258, 11290.243, 0.8394437173348431, 519898976920.156, 17482.652, 0.004084882538687551, [0.0001]
35, 14783.933317899995, 1813281912750.296, 11543.447, 0.8321614421788966, 511102072234.1212, 17334.115, 0.020936176256531658, [1e-05]
36, 15039.572224700009, 1256245300751.457, 9608.157, 0.883721114700879, 521455380083.3054, 17508.803, 0.0011034467062351894, [1e-05]
37, 15295.214135499991, 1192690411026.6887, 9361.958, 0.8896037967917764, 530426534783.9138, 17658.77, -0.016081639212470744, [1e-05]
38, 15551.085384400008, 1164867656339.2827, 9252.117, 0.8921790891324262, 542339892856.07007, 17855.979, -0.03890279087942661, [1e-05]
39, 15806.975460999995, 1197520107930.0186, 9380.8955, 0.889156756892868, 535799737502.44653, 17747.986, -0.026374511586006122, [1e-05]
40, 16062.807423999999, 1191922061572.6145, 9358.942, 0.8896749157189368, 528652528631.9138, 17629.217, -0.012683364502040773, [1e-05]
41, 16318.726668999996, 1132480219453.04, 9122.59, 0.8951768914378957, 524445407698.1135, 17558.93, -0.004624230853075284, [1e-05]
42, 16575.57623159999, 1158935070821.5286, 9228.526, 0.892728213032946, 535341937230.7719, 17740.402, -0.025497552346656516, [1e-05]
43, 16831.436393499986, 1109520768356.606, 9029.643, 0.8973020332226858, 523839173093.6809, 17548.775, -0.003462931765974009, [1e-05]
44, 17087.165153500013, 1148163057701.124, 9185.539, 0.8937252776895913, 526074950234.02966, 17586.186, -0.0077457719949320936, [1e-05]
45, 17342.92103669999, 1112713503227.412, 9042.625, 0.8970065115983572, 521077374967.68, 17502.453, 0.00182755086077524, [1e-05]
46, 17604.08601540001, 1138920782480.9043, 9148.494, 0.8945807487186904, 526560715075.77454, 17594.303, -0.008676299983832125, [1e-05]
47, 17864.202626399987, 1107472035667.1494, 9021.303, 0.8974916652581357, 519823915211.92065, 17481.389, 0.004228670261480216, [1e-05]
48, 18135.81218030001, 1119007911306.3008, 9068.165, 0.8964238970766606, 529373707808.4596, 17641.236, -0.014064850668016549, [1e-05]
49, 18408.53108449999, 1105021704955.6045, 9011.316, 0.8977184694687321, 527237394696.69086, 17605.605, -0.009972543088869523, [1e-05]
50, 18680.828666099987, 1130998952694.3064, 9116.622, 0.8953139984562728, 540311420054.4895, 17822.553, -0.03501706150096018, [1e-05]
